#{"t_start": 1640864053.790724, "env_id": "Hopper-v3"}
r,l,t
286.882887,131,533.109591
305.407699,126,534.308842
317.427455,138,535.622767
323.371704,129,536.852686
298.818602,130,538.096493
337.140769,130,539.335372
302.994061,128,540.572309
303.611022,129,541.827434
324.920919,134,543.133792
343.972295,133,544.43392
307.70206,132,545.73078
331.384812,133,547.026242
334.634443,131,548.30413
312.185506,128,549.56186
301.561369,130,550.827348
336.212316,135,552.123289
312.420778,138,553.444364
325.291111,128,554.662495
332.232421,132,555.918494
338.737484,137,557.22144
284.414967,121,558.37704
299.058238,128,559.595486
330.700068,131,560.855839
309.728645,124,562.044594
341.466236,130,563.284495
342.37502,134,564.562047
314.045992,128,565.79076
334.601133,128,567.012056
349.10003,130,568.248906
339.105189,131,569.500936
352.093153,140,570.858629
360.899757,136,572.150801
349.875184,129,573.375577
350.795315,134,574.655033
340.500501,131,575.900899
350.324865,133,577.172811
339.722056,130,578.414405
351.998634,132,579.676573
371.605219,136,580.994557
336.159356,129,582.227394
344.355191,131,583.473556
361.837274,132,584.72882
362.220301,132,585.989289
334.223924,125,587.779035
365.208063,135,589.067189
360.959198,134,590.373022
325.240547,121,591.544127
368.926485,134,592.820378
338.354242,134,594.102864
368.231762,135,595.392338
367.553235,137,596.700943
367.281711,138,598.019678
330.843889,133,599.291181
362.335208,133,600.573234
349.21522,129,601.812123
336.753666,125,603.003548
338.60937,128,604.230598
368.848618,135,605.519274
366.809133,139,606.847111
340.606598,128,608.068372
377.961277,140,609.409714
349.411229,126,610.635276
369.259599,138,611.961019
367.048194,139,613.288308
369.536489,135,614.580794
364.790571,137,615.888785
388.5851,138,617.205757
366.790401,135,618.498512
372.061722,136,619.828057
353.424028,131,621.098094
358.049641,131,622.353524
364.344057,133,623.62443
351.054717,131,624.876506
349.289792,131,626.133363
366.215304,136,627.435304
372.947848,137,628.742176
375.350983,138,630.079886
349.020221,130,631.341373
378.601105,137,632.663412
367.715306,136,633.965836
371.38312,134,635.246896
382.711471,143,636.611576
374.811173,135,637.894356
376.751292,138,639.210717
375.751267,139,640.553222
363.551735,134,641.843421
380.238228,139,643.171839
361.66987,132,644.43031
379.180235,138,645.746013
341.093414,125,646.951069
