#{"t_start": 1641322052.056341, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
190.0,2668,2352.836254
310.0,3311,2356.343973
315.0,2541,2358.68241
240.0,3096,2361.625244
475.0,3362,2364.765795
1000.0,4278,2369.105295
345.0,2767,2372.666244
215.0,1970,2374.872397
470.0,2818,2377.564991
480.0,5266,2382.903289
425.0,4158,2394.177312
325.0,2989,2397.000426
395.0,3082,2400.198419
605.0,4092,2404.653606
290.0,3092,2407.39493
490.0,3114,2410.30151
230.0,3340,2413.424811
480.0,3590,2416.65805
840.0,4650,2420.943058
450.0,3181,2423.739763
345.0,3114,2426.58432
555.0,4520,2440.249458
305.0,2898,2443.11431
255.0,2282,2445.528198
375.0,3710,2449.818428
480.0,4000,2453.418283
360.0,3425,2456.635735
190.0,2916,2460.454082
390.0,3674,2463.790424
75.0,2188,2465.77424
315.0,3106,2468.528146
290.0,3212,2471.474856
485.0,3046,2474.331996
475.0,4148,2478.738898
220.0,2730,2494.004012
380.0,2808,2496.450093
475.0,4694,2500.810506
285.0,3352,2503.768682
705.0,4666,2508.713466
530.0,3102,2511.882882
365.0,3240,2514.772676
225.0,3324,2518.039674
410.0,4272,2522.564676
470.0,3138,2525.567591
320.0,3106,2528.376635
390.0,3054,2531.205071
240.0,3113,2543.760372
335.0,2816,2546.696599
290.0,2870,2549.216989
525.0,4252,2553.108629
925.0,4188,2556.894075
330.0,2626,2559.252311
225.0,2426,2561.462472
335.0,3196,2564.31114
200.0,2804,2567.122579
445.0,4542,2571.47995
310.0,3630,2574.979285
500.0,2934,2577.684777
350.0,3864,2589.538909
410.0,4130,2593.622777
410.0,4171,2597.618578
1010.0,4486,2601.704852
805.0,5132,2606.910468
1010.0,8174,2614.763037
555.0,4860,2619.038372
310.0,2940,2621.770631
315.0,3012,2625.134542
1000.0,7052,2647.656457
440.0,4341,2651.769084
400.0,4710,2656.155568
495.0,5996,2662.018593
360.0,3730,2665.526113
375.0,3880,2669.124808
605.0,4062,2674.219911
285.0,2703,2676.625117
530.0,4664,2681.057729
785.0,3561,2695.121797
420.0,3328,2698.09227
560.0,3027,2700.795984
730.0,4942,2705.264596
575.0,4241,2709.056481
530.0,3299,2711.97585
270.0,2834,2714.530053
385.0,2756,2718.06183
565.0,2770,2720.72837
475.0,2712,2723.260571
350.0,2759,2725.675485
570.0,5186,2742.168453
465.0,3644,2745.49743
565.0,2520,2748.353934
400.0,3948,2752.166292
745.0,4027,2756.026075
